Scan Axis	Amplitude	Phase	
			
-180.00	-96.240	59.223	
-178.50	-98.922	-20.413	
-177.00	-92.325	-72.254	
-175.50	-88.874	-108.431	
-174.00	-83.648	-118.078	
-172.50	-83.010	-115.226	
-171.00	-80.901	-112.166	
-169.50	-79.257	-107.008	
-168.00	-78.145	-111.291	
-166.50	-77.711	-115.571	
-165.00	-76.971	-97.980	
-163.50	-76.916	-90.876	
-162.00	-77.347	-102.014	
-160.50	-77.334	-105.993	
-159.00	-77.222	-98.392	
-157.50	-75.402	-94.803	
-156.00	-73.576	-108.025	
-154.50	-72.538	-101.896	
-153.00	-72.492	-108.665	
-151.50	-71.562	-110.522	
-150.00	-70.673	-124.669	
-148.50	-71.368	-127.937	
-147.00	-71.001	-135.586	
-145.50	-72.517	-142.537	
-144.00	-72.280	-144.386	
-142.50	-70.778	-149.227	
-141.00	-71.862	-155.946	
-139.50	-73.581	-157.491	
-138.00	-72.828	178.044	
-136.50	-73.089	-178.849	
-135.00	-73.826	177.435	
-133.50	-74.760	172.464	
-132.00	-77.248	169.204	
-130.50	-77.405	168.316	
-129.00	-76.260	163.660	
-127.50	-77.034	164.433	
-126.00	-77.284	166.037	
-124.50	-77.730	156.097	
-123.00	-77.921	136.788	
-121.50	-76.275	116.996	
-120.00	-75.282	94.737	
-118.50	-76.745	72.340	
-117.00	-77.061	46.312	
-115.50	-77.005	16.238	
-114.00	-77.430	-8.813	
-112.50	-77.874	-24.003	
-111.00	-78.480	-44.307	
-109.50	-79.012	-75.843	
-108.00	-78.116	-106.689	
-106.50	-76.025	-130.873	
-105.00	-75.790	-142.477	
-103.50	-75.022	-165.052	
-102.00	-74.012	-174.472	
-100.50	-74.017	167.270	
-99.00	-73.812	154.823	
-97.50	-75.324	129.424	
-96.00	-74.824	129.604	
-94.50	-74.217	123.006	
-93.00	-75.497	118.761	
-91.50	-74.671	116.314	
-90.00	-75.902	102.721	
-88.50	-75.772	106.341	
-87.00	-78.957	93.579	
-85.50	-82.696	90.878	
-84.00	-87.104	99.106	
-82.50	-87.344	142.595	
-81.00	-83.725	169.621	
-79.50	-81.993	151.100	
-78.00	-82.584	147.580	
-76.50	-84.822	129.946	
-75.00	-80.738	107.118	
-73.50	-80.175	91.776	
-72.00	-79.142	69.779	
-70.50	-80.493	40.418	
-69.00	-78.869	25.963	
-67.50	-78.971	-3.074	
-66.00	-76.110	-9.321	
-64.50	-74.323	-20.486	
-63.00	-75.126	-35.711	
-61.50	-73.023	-29.702	
-60.00	-72.869	-39.092	
-58.50	-72.398	-42.368	
-57.00	-73.154	-47.003	
-55.50	-75.361	-36.873	
-54.00	-76.987	-23.498	
-52.50	-77.639	-30.937	
-51.00	-77.072	-27.316	
-49.50	-76.845	-12.308	
-48.00	-77.557	-8.317	
-46.50	-78.138	3.250	
-45.00	-77.894	6.464	
-43.50	-77.214	17.084	
-42.00	-76.716	25.159	
-40.50	-76.140	25.573	
-39.00	-77.020	35.151	
-37.50	-76.915	36.955	
-36.00	-77.304	34.157	
-34.50	-78.403	28.272	
-33.00	-77.729	27.604	
-31.50	-76.509	18.029	
-30.00	-75.980	24.883	
-28.50	-76.839	22.563	
-27.00	-75.758	17.747	
-25.50	-75.728	13.626	
-24.00	-75.095	15.346	
-22.50	-75.438	18.054	
-21.00	-75.669	26.534	
-19.50	-76.013	20.335	
-18.00	-76.841	13.762	
-16.50	-74.944	22.139	
-15.00	-74.303	30.803	
-13.50	-76.048	31.268	
-12.00	-75.633	32.879	
-10.50	-75.117	33.343	
-9.00	-75.669	33.757	
-7.50	-74.768	47.991	
-6.00	-75.068	49.475	
-4.50	-73.487	58.299	
-3.00	-73.543	62.852	
-1.50	-73.042	65.480	
0.00	-72.272	77.019	
1.50	-71.708	66.886	
3.00	-72.370	67.996	
4.50	-71.836	68.191	
6.00	-69.973	68.941	
7.50	-68.925	69.594	
9.00	-67.576	69.080	
10.50	-67.895	71.706	
12.00	-68.144	74.628	
13.50	-68.733	68.665	
15.00	-67.863	78.246	
16.50	-68.955	79.963	
18.00	-68.794	72.083	
19.50	-69.215	67.851	
21.00	-70.003	73.129	
22.50	-70.815	84.774	
24.00	-70.407	94.180	
25.50	-71.211	96.196	
27.00	-72.552	90.369	
28.50	-72.786	99.339	
30.00	-73.433	96.871	
31.50	-73.197	93.282	
33.00	-73.405	96.607	
34.50	-73.794	107.999	
36.00	-74.426	110.566	
37.50	-73.848	111.605	
39.00	-73.996	110.465	
40.50	-74.935	110.272	
42.00	-74.673	109.368	
43.50	-75.525	111.485	
45.00	-76.131	114.505	
46.50	-75.632	121.103	
48.00	-76.005	114.625	
49.50	-75.362	105.521	
51.00	-74.513	110.145	
52.50	-74.558	106.603	
54.00	-75.128	99.947	
55.50	-74.222	91.738	
57.00	-72.179	87.589	
58.50	-72.194	90.091	
60.00	-72.000	93.744	
61.50	-72.722	91.547	
63.00	-71.621	102.252	
64.50	-68.842	102.191	
66.00	-69.902	103.661	
67.50	-69.568	110.665	
69.00	-70.164	105.593	
70.50	-71.184	102.243	
72.00	-71.578	107.450	
73.50	-71.347	109.436	
75.00	-70.131	112.780	
76.50	-70.620	120.293	
