Scan Axis	Amplitude	Phase	
			
-180.00	-69.698	31.418	
-178.50	-74.486	31.831	
-177.00	-79.237	33.577	
-175.50	-83.677	34.430	
-174.00	-86.448	44.118	
-172.50	-86.742	50.577	
-171.00	-86.105	57.364	
-169.50	-87.337	77.608	
-168.00	-88.169	74.584	
-166.50	-87.786	72.308	
-165.00	-87.228	73.207	
-163.50	-85.743	73.144	
-162.00	-86.311	74.438	
-160.50	-87.332	67.345	
-159.00	-88.346	65.048	
-157.50	-92.647	46.734	
-156.00	-94.163	48.915	
-154.50	-98.884	66.576	
-153.00	-91.716	146.767	
-151.50	-86.786	156.770	
-150.00	-83.782	147.975	
-148.50	-82.455	136.241	
-147.00	-81.257	129.941	
-145.50	-79.626	130.416	
-144.00	-78.819	125.574	
-142.50	-78.726	125.626	
-141.00	-78.882	120.415	
-139.50	-77.890	124.772	
-138.00	-76.476	121.120	
-136.50	-75.360	116.406	
-135.00	-74.127	110.774	
-133.50	-73.455	107.507	
-132.00	-72.804	103.220	
-130.50	-72.768	99.423	
-129.00	-73.040	94.020	
-127.50	-73.529	96.809	
-126.00	-73.018	98.554	
-124.50	-71.828	101.047	
-123.00	-70.729	99.457	
-121.50	-69.908	98.519	
-120.00	-69.263	96.412	
-118.50	-68.720	93.601	
-117.00	-68.102	88.936	
-115.50	-68.072	85.064	
-114.00	-67.671	81.190	
-112.50	-67.234	77.406	
-111.00	-66.809	75.152	
-109.50	-66.848	73.005	
-108.00	-66.541	72.025	
-106.50	-66.256	68.943	
-105.00	-66.033	67.257	
-103.50	-65.776	65.082	
-102.00	-65.592	64.053	
-100.50	-65.089	62.175	
-99.00	-65.203	60.460	
-97.50	-64.783	59.645	
-96.00	-64.863	57.248	
-94.50	-64.496	56.996	
-93.00	-64.186	55.194	
-91.50	-63.829	54.361	
-90.00	-63.498	50.686	
-88.50	-63.612	48.514	
-87.00	-63.460	47.524	
-85.50	-63.453	46.339	
-84.00	-63.552	45.746	
-82.50	-63.698	44.206	
-81.00	-63.710	43.444	
-79.50	-63.656	42.634	
-78.00	-63.510	43.790	
-76.50	-63.155	42.146	
-75.00	-62.816	43.282	
-73.50	-62.501	43.591	
-72.00	-62.246	42.826	
-70.50	-61.643	43.006	
-69.00	-61.374	43.013	
-67.50	-61.078	42.116	
-66.00	-60.698	38.810	
-64.50	-60.530	38.042	
-63.00	-60.358	38.021	
-61.50	-60.267	37.796	
-60.00	-60.135	37.769	
-58.50	-59.981	37.751	
-57.00	-59.476	37.269	
-55.50	-59.395	36.444	
-54.00	-59.284	35.918	
-52.50	-59.117	36.251	
-51.00	-58.684	35.506	
-49.50	-58.706	35.071	
-48.00	-58.609	34.623	
-46.50	-58.375	33.419	
-45.00	-57.968	32.256	
-43.50	-57.692	31.474	
-42.00	-57.475	30.568	
-40.50	-57.249	29.564	
-39.00	-56.878	28.511	
-37.50	-56.783	27.187	
-36.00	-56.605	26.501	
-34.50	-56.560	26.878	
-33.00	-56.415	26.290	
-31.50	-56.197	25.188	
-30.00	-55.928	25.347	
-28.50	-55.917	25.863	
-27.00	-55.734	26.525	
-25.50	-55.660	25.700	
-24.00	-55.635	24.162	
-22.50	-55.692	23.672	
-21.00	-55.620	23.995	
-19.50	-55.424	24.132	
-18.00	-55.471	24.382	
-16.50	-55.493	24.354	
-15.00	-55.333	24.421	
-13.50	-55.225	24.336	
-12.00	-55.268	24.818	
-10.50	-55.074	24.590	
-9.00	-55.215	24.473	
-7.50	-55.126	24.746	
-6.00	-55.143	25.584	
-4.50	-55.029	25.484	
-3.00	-54.996	25.446	
-1.50	-54.888	25.795	
0.00	-54.837	25.627	
1.50	-54.807	25.735	
3.00	-54.999	25.880	
4.50	-54.888	25.928	
6.00	-54.939	25.335	
7.50	-55.029	25.585	
9.00	-55.055	25.400	
10.50	-55.114	26.583	
12.00	-55.241	26.663	
13.50	-55.007	27.969	
15.00	-55.082	28.932	
16.50	-55.257	29.721	
18.00	-55.020	29.186	
19.50	-55.189	30.553	
21.00	-55.291	31.314	
22.50	-55.311	31.699	
24.00	-55.432	31.975	
25.50	-55.518	33.141	
27.00	-55.566	34.414	
28.50	-55.665	35.485	
30.00	-55.805	35.978	
31.50	-55.886	37.096	
33.00	-56.037	38.619	
34.50	-56.254	39.976	
36.00	-56.484	40.808	
37.50	-56.935	42.223	
39.00	-57.282	43.335	
40.50	-57.512	44.766	
42.00	-57.815	44.893	
43.50	-57.811	45.594	
45.00	-58.057	47.129	
46.50	-58.008	47.931	
48.00	-58.343	50.313	
49.50	-58.728	50.731	
51.00	-58.947	51.872	
52.50	-59.170	52.108	
54.00	-59.335	52.830	
55.50	-59.450	52.602	
57.00	-59.730	53.999	
58.50	-59.999	55.614	
60.00	-60.220	56.911	
61.50	-60.554	57.745	
63.00	-60.669	59.427	
64.50	-60.804	61.560	
66.00	-61.145	62.432	
67.50	-61.300	61.325	
69.00	-61.382	62.961	
70.50	-61.773	63.153	
72.00	-61.913	64.445	
73.50	-62.195	65.979	
75.00	-62.617	66.710	
76.50	-62.928	67.512	
78.00	-63.327	67.443	
79.50	-63.830	68.423	
81.00	-63.990	68.846	
82.50	-64.329	68.639	
84.00	-64.481	69.309	
85.50	-64.787	69.035	
87.00	-64.858	70.473	
88.50	-65.052	70.789	
90.00	-65.433	72.640	
91.50	-65.531	75.628	
93.00	-65.904	77.108	
94.50	-66.366	77.870	
96.00	-66.754	78.096	
97.50	-67.164	75.981	
99.00	-67.457	75.513	
100.50	-67.754	76.106	
102.00	-67.519	76.272	
103.50	-67.476	77.973	
105.00	-67.478	80.269	
106.50	-67.730	84.556	
108.00	-67.660	87.636	
109.50	-67.799	90.540	
111.00	-68.237	93.694	
112.50	-68.753	95.562	
114.00	-69.236	100.418	
115.50	-69.691	107.230	
117.00	-70.436	110.235	
118.50	-71.269	113.715	
120.00	-72.487	115.079	
121.50	-73.365	113.240	
123.00	-73.897	113.445	
124.50	-74.211	116.154	
126.00	-74.033	117.132	
127.50	-74.538	119.742	
129.00	-75.672	124.331	
130.50	-77.178	121.999	
132.00	-77.926	123.187	
133.50	-79.034	120.529	
135.00	-79.613	120.087	
136.50	-80.105	118.488	
138.00	-80.526	120.325	
139.50	-79.923	117.613	
141.00	-79.692	121.871	
142.50	-79.983	127.346	
144.00	-82.411	129.157	
145.50	-84.212	135.966	
147.00	-85.240	116.878	
148.50	-85.952	107.844	
150.00	-85.950	91.562	
151.50	-85.895	98.491	
153.00	-86.592	86.172	
154.50	-86.040	104.196	
156.00	-87.629	101.726	
157.50	-86.774	95.483	
159.00	-88.440	89.471	
160.50	-87.348	66.387	
162.00	-85.840	61.403	
163.50	-85.998	54.384	
165.00	-85.236	48.776	
166.50	-84.290	41.275	
168.00	-84.474	48.569	
169.50	-83.897	47.636	
171.00	-84.633	40.422	
172.50	-85.539	48.949	
174.00	-86.258	48.760	
175.50	-84.226	38.831	
177.00	-84.910	45.771	
178.50	-85.105	38.820	
180.00	-86.901	38.586	
Frequency	2.400	GHz	
Step Axis :Roll  [deg]	90.00		
Channel	CH1		
Scan Axis name	Azimuth  [deg]		
Scan Axis	Amplitude	Phase	
			
-180.00	-74.844	-20.074	
-178.50	-74.826	-22.645	
-177.00	-74.598	-20.695	
-175.50	-75.076	-19.001	
-174.00	-74.895	-16.650	
-172.50	-75.467	-18.461	
-171.00	-75.365	-20.289	
-169.50	-74.970	-17.758	
-168.00	-75.926	-18.087	
-166.50	-75.869	-18.597	
-165.00	-76.055	-19.939	
-163.50	-76.298	-20.662	
-162.00	-77.187	-21.933	
-160.50	-77.945	-26.582	
-159.00	-77.531	-35.657	
-157.50	-77.685	-47.909	
-156.00	-78.575	-50.667	
-154.50	-79.283	-61.310	
-153.00	-79.453	-74.308	
-151.50	-79.518	-82.045	
-150.00	-80.497	-95.230	
-148.50	-82.355	-103.650	
-147.00	-82.823	-111.940	
-145.50	-83.752	-124.453	
-144.00	-84.907	-121.339	
-142.50	-85.652	-141.062	
-141.00	-86.091	-152.540	
-139.50	-85.524	-139.966	
-138.00	-84.651	-142.344	
-136.50	-83.922	-142.801	
-135.00	-84.744	-149.698	
-133.50	-86.963	-173.622	
-132.00	-92.579	165.398	
-130.50	-113.285	134.004	
-129.00	-88.449	-37.798	
-127.50	-81.247	-59.472	
-126.00	-78.777	-64.711	
-124.50	-76.777	-71.775	
-123.00	-75.304	-80.480	
-121.50	-74.584	-88.465	
-120.00	-73.899	-93.681	
-118.50	-73.584	-93.224	
-117.00	-73.701	-94.296	
-115.50	-73.255	-91.312	
-114.00	-73.019	-87.873	
-112.50	-72.180	-90.876	
-111.00	-70.901	-94.885	
-109.50	-70.910	-97.377	
-108.00	-70.267	-101.019	
-106.50	-70.511	-105.355	
-105.00	-70.797	-107.648	
-103.50	-70.614	-107.659	
-102.00	-70.754	-106.858	
-100.50	-70.414	-109.408	
-99.00	-70.139	-109.510	
-97.50	-70.329	-112.850	
-96.00	-70.070	-112.554	
-94.50	-69.700	-114.646	
-93.00	-69.494	-116.515	
-91.50	-69.730	-117.797	
-90.00	-69.865	-119.715	
-88.50	-69.885	-122.542	
-87.00	-69.621	-122.417	
-85.50	-69.833	-123.481	
-84.00	-69.674	-121.672	
-82.50	-69.919	-118.031	
-81.00	-69.839	-113.146	
-79.50	-69.501	-109.074	
-78.00	-68.642	-104.719	
-76.50	-67.946	-103.918	
-75.00	-67.229	-103.172	
-73.50	-66.396	-104.947	
-72.00	-65.992	-104.291	
-70.50	-65.863	-105.323	
-69.00	-65.563	-106.468	
-67.50	-65.176	-108.313	
-66.00	-65.364	-109.968	
-64.50	-65.359	-112.518	
-63.00	-65.262	-111.814	
-61.50	-65.523	-113.243	
-60.00	-65.468	-114.142	
-58.50	-65.389	-115.648	
-57.00	-65.445	-114.105	
-55.50	-65.501	-113.951	
-54.00	-65.255	-113.470	
-52.50	-65.171	-111.485	
-51.00	-64.864	-109.731	
-49.50	-64.836	-111.752	
-48.00	-64.818	-112.734	
-46.50	-64.594	-111.486	
-45.00	-64.490	-109.311	
-43.50	-64.258	-108.809	
-42.00	-63.970	-107.583	
-40.50	-63.625	-106.411	
-39.00	-63.303	-106.546	
-37.50	-62.691	-106.406	
-36.00	-62.540	-105.099	
-34.50	-62.309	-103.363	
-33.00	-61.957	-104.176	
-31.50	-61.706	-104.799	
-30.00	-61.695	-106.157	
-28.50	-61.342	-106.045	
-27.00	-61.250	-104.818	
-25.50	-61.074	-104.723	
-24.00	-61.030	-105.663	
-22.50	-60.701	-106.876	
-21.00	-60.585	-107.312	
-19.50	-60.405	-107.505	
-18.00	-60.222	-106.217	
-16.50	-60.105	-107.852	
-15.00	-59.938	-107.783	
-13.50	-59.922	-107.456	
-12.00	-59.765	-107.712	
-10.50	-59.544	-107.988	
-9.00	-59.303	-107.466	
-7.50	-59.168	-106.745	
-6.00	-59.148	-106.910	
-4.50	-59.042	-107.537	
-3.00	-59.012	-106.189	
-1.50	-58.825	-106.733	
0.00	-58.721	-106.326	
